date,area_name,road/intersection_name,traffic_volume,average_speed,travel_time_index,congestion_level,road_capacity_utilization,incident_reports,environmental_impact,public_transport_usage,traffic_signal_compliance,parking_usage,pedestrian_and_cyclist_count,weather_conditions,roadwork_and_construction_activity,pm2.5,pm10,no2,nh3,so2,co,aqi_pm2.5,aqi_pm10,aqi_no2,aqi_so2,aqi_co,overall_aqi
05-01-2022,Koramangala,Sony World Junction,58920,25.21236284,1.5,100,100,2,167.84,54.8803343,87.75793778,77.13622217,92,Clear,No,52.4,125.07,49.16,10.45,2.7,1.87,87.15862069,116.9928188,61.25230769,3.375,92.92222222,116.9928188
05-01-2022,Koramangala,Sarjapur Road,46963,34.44415329,1.5,100,100,2,143.926,71.04867363,97.2847313,78.25665918,106,Clear,No,56.35,130.38,55.33,10.87,2.78,1.62,93.83275862,120.5209396,69.00435897,3.475,79.31111111,120.5209396
05-01-2022,Jayanagar,Jayanagar 4th Block,18111,55.94191518,1.236510174,58.35005408,86.10261639,0,86.222,66.1997414,60.18528092,66.67495858,97,Overcast,No,41.71,91.29,38.35,9.35,2.83,1.12,69.0962069,91.29,47.9375,3.5375,52.08888889,91.29
05-01-2022,Jayanagar,South End Circle,22491,42.39264835,1.180975806,67.78714041,100,0,94.982,39.32478147,96.59383604,68.11969496,102,Clear,No,44.28,101.74,41.7,10.65,2.76,1.43,73.43862069,101.4916779,51.87948718,3.45,68.96666667,101.4916779
05-01-2022,Hebbal,Hebbal Flyover,38924,23.93474091,1.5,100,100,2,127.848,62.49723293,68.39622372,94.90271447,90,Clear,No,43.68,95.16,34.38,10.76,2.73,1.15,72.42482759,95.16,42.975,3.4125,53.72222222,95.16
05-01-2022,Yeshwanthpur,Yeshwanthpur Circle,25165,20,1.5,82.69858827,100,1,100.33,22.73496913,94.47142484,97.30577311,96,Rain,No,45.45,99.09,32.09,10.61,2.61,1.03,75.41551724,99.09,40.1125,3.2625,500,500
05-01-2022,Yeshwanthpur,Tumkur Road,15871,57.71555095,1.010838397,47.34277657,76.66574797,1,81.742,17.28760074,91.99664341,58.9272331,104,Clear,No,48.49,101.79,29.29,11.29,2.75,1.02,80.55206897,101.5248993,36.6125,3.4375,500,500
06-01-2022,Indiranagar,100 Feet Road,46556,46.59329803,1.5,100,100,2,143.112,15.98559716,68.31545021,51.32661019,89,Clear,No,30.5,67.75,19.38,10.48,2.54,0.94,500,67.75,24.225,3.175,47,500
06-01-2022,Indiranagar,CMH Road,22591,30.91538704,1.236117977,70.66460615,100,2,95.182,30.61260317,97.93813228,88.18028971,100,Fog,No,33.7,79.15,17.87,11.04,2.55,0.96,55.56206897,79.15,22.3375,3.1875,48,79.15
06-01-2022,Whitefield,Marathahalli Bridge,20310,51.72257284,1.103155074,60.48712148,100,1,90.62,22.01755001,70.89229306,50.91953383,117,Clear,No,37.16,86.35,12.62,10.23,2.6,1,61.40827586,86.35,15.775,3.25,50,86.35
06-01-2022,Koramangala,Sony World Junction,61024,44.82690984,1.5,100,100,2,172.048,36.81969698,80.75670821,52.34829834,89,Clear,No,38.52,94,15.02,9,2.55,1.08,63.7062069,94,18.775,3.1875,500,500
06-01-2022,Koramangala,Sarjapur Road,28153,21.48315394,1.5,98.22425144,100,4,106.306,25.0458265,61.2473254,63.11320221,103,Clear,No,42.18,108.38,28.13,9.96,2.62,1.1,69.89034483,105.9034899,35.1625,3.275,51,105.9034899
06-01-2022,M.G. Road,Trinity Circle,12965,62.70800636,1.275360959,41.91321344,62.28902033,2,75.93,29.05015961,83.60922667,68.04869485,198,Clear,No,35.6,94.6,18.75,9.46,2.56,1.09,58.77241379,94.6,23.4375,3.2,500,500
06-01-2022,M.G. Road,Anil Kumble Circle,57145,45.62209851,1.5,100,100,1,164.29,79.13676056,97.76237359,51.97134057,89,Overcast,Yes,38.76,102.95,30.46,9.43,2.58,1.24,64.11172414,102.2956376,38.075,3.225,58.62222222,102.2956376
06-01-2022,Jayanagar,South End Circle,40516,34.19584226,1.5,100,100,1,131.032,51.73889149,69.20035349,56.02834429,82,Clear,No,39.33,94.53,25.47,9.72,2.56,1.2,65.07482759,94.53,31.8375,3.2,56.44444444,94.53
06-01-2022,Hebbal,Hebbal Flyover,22893,46.96554777,1.127501001,78.82782753,100,2,95.786,70.90692117,60.85077643,93.73508363,101,Fog,No,37.66,96.49,23.04,9.38,2.58,1.16,62.25310345,96.49,28.8,3.225,54.26666667,96.49
06-01-2022,Hebbal,Ballari Road,28470,20,1.5,97.45010926,100,3,106.94,61.63076111,69.55108583,55.52370566,96,Clear,No,43.51,96.91,15.49,9.34,2.69,1.08,72.13758621,96.91,19.3625,3.3625,500,500
06-01-2022,Yeshwanthpur,Yeshwanthpur Circle,6965,47.34214733,1.153730659,26.80961232,32.00753888,2,63.93,39.2306543,95.1647323,97.23660111,199,Clear,No,63.49,137.43,33.66,10.04,2.67,1.48,109.5003448,125.2051678,42.075,3.3375,71.68888889,125.2051678
06-01-2022,Yeshwanthpur,Tumkur Road,32668,51.21108558,1.5,100,100,1,115.336,23.05067835,91.18337894,67.50626296,97,Rain,No,76.92,178.58,42.02,11.46,2.69,1.88,155.3475862,152.546443,52.28153846,3.3625,93.46666667,155.3475862
07-01-2022,Indiranagar,100 Feet Road,24405,29.84255885,1.237175974,82.95172416,100,2,98.81,72.21236559,98.22605993,93.10638086,110,Clear,Yes,64.23,150.84,53.35,11.33,2.74,1.97,112.0265517,134.1151678,66.51666667,3.425,98.36666667,134.1151678
07-01-2022,Indiranagar,CMH Road,25768,25.49316209,1.5,85.81084803,100,2,101.536,69.58448398,79.80586108,74.02932887,103,Clear,No,52.51,130.1,34.06,11.65,2.77,1.42,87.34448276,120.3348993,42.575,3.4625,68.42222222,120.3348993
07-01-2022,Whitefield,ITPL Main Road,34362,46.08703581,1.5,100,100,5,118.724,21.10235737,95.23483037,93.59217639,87,Fog,No,26.76,98.67,34.37,10.08,2.54,1.35,44.6,98.67,42.9625,3.175,64.61111111,98.67
07-01-2022,Electronic City,Silk Board Junction,12382,45.46436548,1.252725411,36.46940495,63.25005703,0,74.764,64.58917766,64.27922555,88.05139513,202,Clear,No,37.77,105.82,24.58,13.25,2.65,1.26,62.43896552,104.2025503,30.725,3.3125,59.71111111,104.2025503
07-01-2022,M.G. Road,Anil Kumble Circle,50214,36.94089993,1.5,100,100,0,150.428,50.75193221,73.83532228,81.04577589,108,Fog,Yes,26.61,79.84,13.73,13.01,2.58,1.1,44.35,79.84,17.1625,3.225,51,79.84
07-01-2022,Jayanagar,Jayanagar 4th Block,21131,44.34249739,1.273318151,69.35472079,100,1,92.262,41.5970917,66.54495285,89.74047744,106,Clear,No,29.22,91.32,22.92,11.76,2.55,1.17,48.7,91.32,28.65,3.1875,54.81111111,91.32
07-01-2022,Hebbal,Hebbal Flyover,39110,23.53041371,1.5,100,100,2,128.22,78.87843536,76.37336025,94.70496018,91,Clear,No,30.92,91.06,18.66,11.01,2.69,1.11,500,91.06,23.325,3.3625,51.54444444,500
07-01-2022,Hebbal,Ballari Road,42022,34.71075116,1.5,100,100,5,134.044,12.27683256,96.83391391,80.83251573,109,Clear,No,30.5,98.56,24.55,9.72,2.72,1.22,500,98.56,30.6875,3.4,57.53333333,500
08-01-2022,Indiranagar,100 Feet Road,36384,28.18948343,1.5,100,100,2,122.768,15.07128215,75.69974226,73.99694174,103,Rain,No,30.24,92.55,26.87,9.04,2.63,1.21,500,92.55,33.5875,3.2875,56.98888889,500
08-01-2022,Indiranagar,CMH Road,11033,44.52288644,1.096818006,46.50991853,51.58995543,0,72.066,53.2709014,88.09859882,77.98243417,201,Clear,Yes,28.75,90.92,20.58,9.52,2.67,1.1,47.91666667,90.92,25.725,3.3375,51,90.92
08-01-2022,Whitefield,Marathahalli Bridge,16390,34.37367223,1.275785988,60.64506732,78.95150244,0,82.78,17.31974882,85.45720998,85.32378632,78,Fog,No,27.26,79.28,18.21,8.82,2.56,1.03,45.43333333,79.28,22.7625,3.2,500,500
08-01-2022,Koramangala,Sarjapur Road,65269,36.97599605,1.5,100,100,2,180.538,14.22464588,69.88412936,57.97723401,113,Windy,No,25.74,76.92,17.2,10.36,2.63,1,42.9,76.92,21.5,3.2875,50,76.92
08-01-2022,Electronic City,Hosur Road,17926,66.42270359,1.22214542,64.1373689,86.91454741,3,85.852,57.61597697,62.88793636,51.53262511,92,Overcast,No,20.83,68.97,10.79,8.43,2.62,0.91,34.71666667,68.97,13.4875,3.275,45.5,68.97
08-01-2022,M.G. Road,Trinity Circle,22876,65.01737103,1.290103064,75.98671216,100,2,95.752,51.464523,96.49453382,60.53310945,104,Fog,No,22.98,70.57,9.79,7.7,2.58,0.92,38.3,70.57,12.2375,3.225,46,70.57
08-01-2022,M.G. Road,Anil Kumble Circle,49798,28.28376632,1.5,100,100,2,149.596,70.95249309,77.8122102,75.7408677,96,Clear,No,30.67,63.14,12.04,8.47,2.6,0.96,500,63.14,15.05,3.25,48,500
08-01-2022,Jayanagar,South End Circle,30323,27.91921134,1.5,93.69413988,100,1,110.646,15.14477231,66.7903162,75.98869743,95,Clear,No,40.36,91,24.7,9.96,2.76,1.21,66.81517241,91,30.875,3.45,56.98888889,91
08-01-2022,Yeshwanthpur,Yeshwanthpur Circle,13356,65.76747984,1.33766818,50.63340306,67.63354364,1,76.712,17.83437336,70.78998446,52.8543428,201,Clear,No,37.92,80.32,26.21,11.24,2.63,1.21,62.69241379,80.32,32.7625,3.2875,56.98888889,80.32
09-01-2022,Indiranagar,CMH Road,38748,38.46488476,1.5,100,100,2,127.496,12.09815129,72.31719766,85.23403814,90,Windy,Yes,39.7,88.94,38.41,9,2.44,1.47,65.7,88.94,48.0125,3.05,71.14444444,88.94
09-01-2022,Whitefield,ITPL Main Road,34188,25.82840195,1.5,100,100,4,118.376,12.12709418,97.23794782,84.47633755,105,Rain,No,23.03,48.83,10.14,11.25,2.57,0.91,38.38333333,48.83,12.675,3.2125,45.5,48.83
09-01-2022,Koramangala,Sony World Junction,32010,32.47619957,1.5,100,100,3,114.02,56.73153699,92.31383768,88.11425674,109,Overcast,No,43.45,76.1,20.88,13.61,2.67,1.28,72.0362069,76.1,26.1,3.3375,60.8,76.1
09-01-2022,Koramangala,Sarjapur Road,13903,30.59949117,1.158469077,50.25267747,68.40058101,0,77.806,26.62808916,74.93007167,61.36348136,174,Rain,No,42.63,72.37,11.46,11.87,2.76,0.94,70.65068966,72.37,14.325,3.45,47,72.37
09-01-2022,M.G. Road,Anil Kumble Circle,34831,20,1.5,100,100,5,119.662,23.704459,60.302515,82.37373571,115,Overcast,Yes,16.76,41.84,4.94,9.26,2.56,0.82,27.93333333,41.84,6.175,3.2,41,41.84
09-01-2022,Jayanagar,South End Circle,14614,44.01660373,1.113949161,44.85913263,76.10025898,0,79.228,31.79153894,84.41335133,85.80753371,190,Clear,No,19.87,48.93,4.21,8.79,2.62,0.88,33.11666667,48.93,5.2625,3.275,44,48.93
09-01-2022,Hebbal,Ballari Road,28195,38.19781934,1.5,95.32957773,100,4,106.39,54.32059629,98.05613369,80.08059101,110,Clear,No,17.29,41.42,4.33,8.28,2.59,0.85,28.81666667,41.42,5.4125,3.2375,42.5,42.5
10-01-2022,Indiranagar,100 Feet Road,43024,28.07094802,1.5,100,100,3,136.048,53.67015273,78.07070715,79.33042316,89,Overcast,No,17.14,43.27,5.95,7.55,2.68,0.83,28.56666667,43.27,7.4375,3.35,41.5,43.27
10-01-2022,Indiranagar,CMH Road,13224,61.23396562,1.218678965,38.71894192,65.02905996,0,76.448,44.77368012,99.51142081,56.82198763,208,Clear,No,20.69,41.91,9.42,8.03,2.72,0.89,34.48333333,41.91,11.775,3.4,44.5,44.5
10-01-2022,Koramangala,Sony World Junction,31137,51.28396623,1.5,99.27321333,100,0,112.274,72.59336123,67.67469299,66.16857811,91,Clear,No,13.92,36.92,5.46,7.93,2.76,0.82,23.2,36.92,6.825,3.45,41,41
10-01-2022,Koramangala,Sarjapur Road,60935,20,1.5,100,100,2,171.87,56.86408686,99.76557445,83.09195949,102,Clear,Yes,20.17,44.94,6.32,8.57,2.73,0.86,33.61666667,44.94,7.9,3.4125,43,44.94
10-01-2022,M.G. Road,Trinity Circle,39508,20.86285503,1.5,100,100,4,129.016,26.42494573,75.97263663,57.62080067,101,Clear,No,21.38,50.72,5.59,8.15,2.75,0.87,35.63333333,500,6.9875,3.4375,43.5,500
10-01-2022,M.G. Road,Anil Kumble Circle,39400,33.47530164,1.5,100,100,0,128.8,31.21898492,70.5245028,68.00682037,84,Clear,No,28.42,55.3,5.19,8.99,2.1,0.59,47.36666667,55.3,6.4875,2.625,29.5,55.3
10-01-2022,Jayanagar,Jayanagar 4th Block,28165,59.92999517,1.5,100,100,4,106.33,67.22147959,75.22493174,93.89871602,113,Fog,No,31.85,58.45,5.43,8.71,1.33,0.31,52.4362069,58.45,6.7875,1.6625,15.5,58.45
10-01-2022,Jayanagar,South End Circle,28609,26.01532018,1.5,92.28532786,100,2,107.218,70.34101376,96.91028762,74.35309594,103,Clear,No,28.5,58.17,5.07,8.26,1.31,0.31,47.5,58.17,6.3375,1.6375,15.5,58.17
10-01-2022,Hebbal,Hebbal Flyover,18780,43.13028697,1.010324763,55.30332578,98.53115112,0,87.56,77.60755128,77.29991513,65.59080665,100,Clear,No,28.25,54.16,5,7.95,1.29,0.31,47.08333333,54.16,6.25,1.6125,15.5,54.16
10-01-2022,Hebbal,Ballari Road,27100,39.17190464,1.5,81.56032588,100,1,104.2,79.6406422,62.31122244,84.75176144,88,Clear,No,18.99,43.53,7.68,6.75,1.16,0.35,31.65,43.53,9.6,1.45,17.5,43.53
10-01-2022,Yeshwanthpur,Tumkur Road,16397,54.12435249,1.249558335,55.19749594,81.24583384,0,82.794,72.06229507,77.99138595,59.73112559,96,Overcast,No,9.07,23.4,9,22.9,1.04,0.36,15.11666667,23.4,11.25,1.3,18,23.4
11-01-2022,Indiranagar,100 Feet Road,11423,20,1.007676911,33.27293084,59.71789823,0,72.846,47.4717092,68.60807488,50.60603873,199,Clear,No,16.68,33.77,10.16,13.86,1.23,0.46,27.8,33.77,12.7,1.5375,23,33.77
11-01-2022,Indiranagar,CMH Road,10806,44.59911487,1.129870371,40.76714155,53.79018129,0,71.612,37.6133395,78.37787074,89.25082719,213,Rain,No,17.11,39.69,8.42,14.19,1.39,0.59,28.51666667,39.69,10.525,1.7375,29.5,39.69
11-01-2022,Whitefield,Marathahalli Bridge,40629,28.94285077,1.5,100,100,2,131.258,46.28856154,66.00676003,86.87168844,100,Clear,Yes,12.52,27.39,6.98,12.93,1.38,0.5,20.86666667,27.39,8.725,1.725,25,27.39
11-01-2022,Koramangala,Sony World Junction,14197,57.98811325,1.118614233,44.31739793,73.73153531,1,78.394,22.18765347,63.93582599,83.01513599,212,Clear,Yes,23.08,42.22,5.33,14.32,1.29,0.49,38.46666667,42.22,6.6625,1.6125,24.5,42.22
11-01-2022,Electronic City,Hosur Road,13734,60.01333652,1.082274905,38.20772836,69.82012968,1,77.468,47.12114933,61.67804894,98.42443888,213,Windy,No,19.62,44.51,6.69,12,1.32,0.52,32.7,44.51,8.3625,1.65,26,44.51
11-01-2022,M.G. Road,Trinity Circle,48585,38.592094,1.5,100,100,1,147.17,40.24538181,77.57619959,80.64697912,121,Clear,No,27.65,58.1,13.41,13.26,1.43,0.63,46.08333333,58.1,16.7625,1.7875,31.5,58.1
11-01-2022,Jayanagar,South End Circle,35331,37.8257995,1.5,100,100,4,120.662,48.15188432,99.38678958,96.86940332,75,Clear,No,32.11,63.15,13.34,14.29,1.68,0.57,52.87551724,63.15,16.675,2.1,28.5,63.15
11-01-2022,Hebbal,Ballari Road,31483,42.23613619,1.5,100,100,2,112.966,58.22197114,94.93291663,81.8145677,108,Clear,Yes,32.29,57.03,10.19,14.23,1.74,0.55,53.17965517,57.03,12.7375,2.175,27.5,57.03
11-01-2022,Yeshwanthpur,Yeshwanthpur Circle,24863,40.77188039,1.081614254,83.97836565,100,1,99.726,34.87691981,91.35167138,77.71132571,96,Clear,No,25.07,51.38,8.81,11.81,1.54,0.54,41.78333333,51.38,11.0125,1.925,27,51.38
12-01-2022,Indiranagar,CMH Road,37767,38.38720503,1.5,100,100,2,125.534,53.37125362,74.21972042,89.70986656,84,Clear,No,27.27,63.39,7.33,11.72,1.43,0.59,45.45,63.39,9.1625,1.7875,29.5,63.39
12-01-2022,Whitefield,Marathahalli Bridge,29583,53.86614646,1.5,100,100,3,109.166,15.39407954,62.34203717,66.71191593,109,Fog,No,24.33,54.32,6.61,10.34,1.4,0.56,40.55,54.32,8.2625,1.75,28,54.32
12-01-2022,Whitefield,ITPL Main Road,14566,26.33463383,1.035440172,42.96557239,73.81225294,3,79.132,39.48736373,85.44709459,89.2825809,180,Overcast,No,21.55,49.21,5.41,9.15,1.36,0.52,35.91666667,49.21,6.7625,1.7,26,49.21
12-01-2022,Koramangala,Sony World Junction,43533,23.80382567,1.5,100,100,0,137.066,68.21879306,70.9228324,75.90393831,94,Clear,No,18.01,41.17,5.21,8.45,1.57,0.48,30.01666667,41.17,6.5125,1.9625,24,41.17
12-01-2022,Electronic City,Silk Board Junction,19320,20,1.053391989,56.01203028,98.87939307,0,88.64,40.57954918,89.18032915,88.27564495,88,Clear,No,15.28,34.1,6.91,6.38,1.45,0.55,25.46666667,34.1,8.6375,1.8125,27.5,34.1
